[WARNING] 2026-05-24 08:55:23,996 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:25,004 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:26,016 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:27,023 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:28,039 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:29,051 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:30,057 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:31,068 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:32,072 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:33,084 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:34,098 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:35,110 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:36,121 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:37,133 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:38,148 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:39,163 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:40,178 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:41,191 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:42,206 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:43,217 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:44,229 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:55:45,230 | Worker unhealthy | name=CameraWorker | reason=failed
